Name,Brand,Use,Use (General),Number of Strains,Number of Species,Bifidobacterium bifidum,Bifidobacterium breve,Bifidobacterium longum,Lactobacillus Acidophilus,Lactobacillus bulgaricus,Lactobacillus casei,Lactobacillus plantarum,Lactobacillus rhamnosus,Lactococcus/bacilllus lactis,Streptococcus thermophilus,Lactobacillus helveticus,Lactobacillus paracasei,Lactobacillus gasseri,Lactobacillus fermentum,Lactobacillus salivarius,Lactobacillus infantis,Lactobacillus brevis,Lactobacillus reuteri,Bacillus coagulans,Bifidobacterium lactis,Bifidobacterium infantis,Saccharomyces boulardii,Lactobacillus crispatus,Lactobacillus jensenii,Lacticaseibacillus rhamnosus,Bacillus subtilis,Lactiplantibacillus plantarum,Enterococcus faecium,Pediococcus acidilactici,Bacillus clausii,Akkermansia municiphila,Lactobacillus johnsonii,Limosilactobacillus reuteri,Levilactobacillus brevis,Bifidobacterium adolescentis,P. pentosaceus
"CVS Health Prebiotic + Probiotic Gummies, 60 CT",CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Bounty Ultra Strength Probiotic 10 Digestive Health Capsules, 30 CT",Nature's Bounty,Gut,Gut,10,8,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Probiotic Supplement Digestive Capsules,Align,Gut,Gut,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Women's Ultimate Probiotic, 30CT",CVS,"Gut, Vaginal",Vaginal/Urinary,12,10,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florastor Daily Probiotic Supplement Vegetarian Capsules, 50 CT",Florastor,GI,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Bounty Probiotic Gummies,Nature's Bounty,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden of Life Women's Daily Care Probiotic Capsules,Garden of Life,"Gut, Vaginal",Vaginal/Urinary,16,15,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle Women's Healthy Balance Probiotic Capsules,Culturelle,"Gut, Vaginal, Urinary",Vaginal/Urinary,5,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Daily Probiotic 24 Billion CFU Capsules ,CVS,Gut,Gut,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Bounty Probiotic GX Capsules, 25CT",Nature's Bounty,Gut,Gut,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Probiotic Women's Dual Action Probiotics Capsules,Align,"Gut, Vaginal",Vaginal/Urinary,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Phillips Colon Health Probiotic Supplement Capsules, 45CT",Phillips',Gut,Gut,3,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature Made Ultra Strength Digestive Probiotics for Women and Men, Probiotic Gummies, 42 CT",Nature Made,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Probiotic + Prebiotic Gummies 30 CT,CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Senior Wellness Probiotic Capsules,CVS,Gut,Gut,11,10,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Probiotic Softgels, 30 CT",CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Daily Probiotic Capsules, 28 CT",CVS,Gut,Gut,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Digestive Probiotic Capsules, 50 CT",CVS,Gut,Gut,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Advanced Probiotic Gummies Plus Fiber,CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align Probiotic Bloating  Relief + Food Digestion, 28 CT",Align,Gut,Gut,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Women's Prebiotic + Probiotic Gummies, 50CT",CVS,"Gut, Urinary",Vaginal/Urinary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olly Probiotic + Previotic Vitamin 30 CT, Peachy Peach",Olly,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physician's Choice Women's Probiotic Delayed-Release Capsules,Physician's Choice,"Gut, Vaginal, Urinary",Vaginal/Urinary,6,6,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Daily Probiotic 2 Billion CFU Capsules,CVS,Gut,Gut,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RepHresh Pro-B Vaginal Probiotic Feminine Supplmeent Capsules, 30 CT",RePHresh,Vaginal,Vaginal/Urinary,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Daily Probiotic 6 Billion CFU Capsules,CVS,Gut,Gut,6,6,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZO Complete Feminine Balance,AZO,"Urinary, Vaginal",Vaginal/Urinary,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Probiotic Minis Softgels,CVS,Gut,Gut,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align Yogurt Bites, Applie Buleberry, 21 CT",Align,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle Digestive Daily Probiotic Capsules,Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OLLY Happy Hoo-Ha, Women's Probiotic Capsule Supplement, 30 CT",Olly,Vaginal,Vaginal/Urinary,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Way Probiotic Pearls for Digestive Health Softgels, 30 CT",Nature's Way,Gut,Gut,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renew Life Women's Care Vaginal Women's Probiotic Supplement, 30 Vegetarian Capsules, 50 Billion CFU",RenewLife,"Gut, Vaginal, Urinary",Vaginal/Urinary,12,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Women's Daily Probiotic Capsules,CVS,"Gut, Vaginal",Vaginal/Urinary,5,4,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Daily Prebiotic + Probiotic Gumies, Mixed Berry, 52 CT",Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Align Women's Health Prebiotic + Probiotic Gummies, 50 CT",Align,"Gut, Urinary",Vaginal/Urinary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Bounty Acidophilus Twin Pack, 100 CT",Nature's Bounty,Gut,Gut,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Adult 50+ Probiotic Capsules, 30 CT",CVS,Gut,Gut,10,10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benefiber Prebiotic and Probiotic Gummies, Assorted Fruit, 50 CT",Benefiber,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florastor Kids Probiotic Packets, 20 CT",Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Ultimate Digestive Probiotic Tablets,CVS,Gut,Gut,12,12,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renew Life Women's Wellness #1 Selling Women's Care Probiotic, 4-in-1 Support, 25 Billion CFU/Capsule Guaranteed, 12 Strains, Shelf-Stable, 50 Capsules, Value Pack 65% More",RenewLife,"Gut, Vaginal, Urinary",Vaginal/Urinary,12,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Senior Wellness Probiotic ,CVS,Gut,Gut,10,10,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florastor Advance Gas & Bloat Probiotic, 30 CT",Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Gas And Bloating Probiotic, 30 CT",CVS,Gut,Gut,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physician's Choice 60 Billion Probiotic Delayed-Release Capsules,Physician's Choice,Gut,Gut,10,10,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florastor Select Daily Probiotic and Prebiotic Supplement Capsules,Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align DualBiotic Prebiotic + Probiotic Digestive Health Gummies, Natural Fruit Flavors",Align,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health High Absorption1 Iron & Probiotics, 30 CT",CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Garden of Life Men's Daily Care Probiotic Capsules ,Garden of Life,Gut,Gut,15,15,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schiff Digestive Advantage Fast Acting Enzymes + Daily Probiotic, 32 CT",Digestive Advantage,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metamucil Fiber Gummies Plus Probiotic, 60 CT",Metamucil,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle Digestive Health Daily Probiotic Chewable Tablets,Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden of Life Critical Care Capsules,Garden of Life,Gut,Gut,15,14,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Health & Wellness Daily Probiotic, Immune Support, Capsules",Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ombre Healthy Gut Extra Strenght Probiotic, 60 CT",Ombre,Gut,Gut,8,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Culturelle Ultimate Strength Probiotic Capsules,Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nature's Bounty Controlled Delivery Probiotic CD Caplets, 30 CT",Nature's Bounty,Gut,Gut,6,7,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Culturelle Kids Multivitamin + Probiotic Lutein Gummies, 60 CT",Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ombre Endless Energy Probiotics, 60 CT",Ombre,Gut,Gut,5,5,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Abdominal Support & Comfort Complet Solution Packets, 28 CT",Culturelle,Gut ,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Probiotic Gummies,CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle Kids Daily Probiotic + Prebiotic Gummies,Culturelle,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CVS Health Extra Strength Daily Probiotic Capsules,CVS,Gut,Gut,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culturelle Kids Purely Probiotic Packets,Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Advanced Probiotic Gummies,CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Digestive Probiotic Capsules,CVS,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips' Colon Health Probiotic Supplement Capsules,Phillips',Gut,Gut,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align Probiotics Chewables, Banana Strawberry, 24 CT",Align,Gut,Gut,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florastor Daily Probiotic Supplement Vegetarian Capsules, 20 CT",Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OLLY Probiotic 50CT, Tropical Mango",Olly,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVS Health Digestive Probiotic Capsules 45 CT,CVS,Gut,Gut,5,5,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align Probiotic Women's Dual Action Gut & Feminine Health Capsules, 28 CT",Align,"Gut, Vaginal",Vaginal/Urinary,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Digestive Advantage Superfruit Daily Probiotic Gummies & Immune Health,Digestive Advantage,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physician's Choice Thin 30 Probiotic Delayed-Release Capsules,Physician's Choice,Gut,Gut,6,6,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TruBiotics Daily Probiotic Supplement Capsules,TruBiotics,Gut,Gut,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olly Probiotic Gummy, 1 billion CFUs, Chewable Probiotic Supplement, Bramble Berry, 80CT",Olly,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renew Life Women's Wellness, Women's Care Probiotic, 25 Billion. CFU Per Cap., 30 ct. Value Pack*",RenewLife,"Gut, Urinary, Vaginal",Vaginal/Urinary,12,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goli Pre+Probiotic Gummies, 60 CT",goli,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CVS Health Premium Care Probiotic Capsules,CVS,Gut,Gut,9,9,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olly Extra Strength Probiotic Gummies, 6 Billion CFUs, 2 Probiotic Strains, 50 CT",Olly,Gut,Gut,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CVS Ultra Strength Probiotic Capsules,CVS,Gut,Gut,8,8,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florastor Daily Probiotic Supplement Vegetarian Capsules,Florastor,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digestive Advantage Daily Probiotic Gummies,Digestive Advantage,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZO Complete Feminine Balance Daily Probiotic for Women Capsules, 30 CT",,"Urinary, Vaginal",Vaginal/Urinary,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Align Probiotics Gut Health and Immunity Support Capsules, 14 CT",Align,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Daily Probiotic Capsules, 30 CT",CVS,Gut,Gut,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Probiotic Supplement,Align,Gut,Gut,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVS Health Targeted Care Probiotic + Vitamin C Dietary Supplement, 30 CT",CVS,Gut,Gut,5,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olly Kids Multi & Probiotic Gummies,Olly,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friska Women's Daily enzyme + Probiotic support capsules,FRISKA,Gut,Gut,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CVS Health Everyday Care Probiotic, 45 CT",CVS,Gut,Gut,10,10,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terra Origin Digestive Enzymes with Probiotic Blend,Terra Origin,Gut,Gut,7,7,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GoodBelly Fast Melts Digestion, Lemon, 1.05 Oz",GoodBelly,Gut,Gut,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culturelle Daily Prebiotic+Probiotic Gummies for Adults, Mixed Berry, 52 CT",Culturelle,Gut,Gut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GoodBelly Probiotic Supplement Capsules, 30 CT",GoodBelly,Gut,Gut,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GoodBelly Fast Melts Immune Support, Strawberry, 1.05 oz",GoodBelly,Gut ,Gut,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ombre Heart Health Probiotics, 30 CT",Ombre,"Gut, Heart",Heart,8,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
